Id,norm.WT_Embryo_1,norm.WT_Embryo_2,norm.WT_Embryo_3,norm.WT_Embryo_4,norm.T_Embryo_1,norm.T_Embryo_2,norm.T_Embryo_3,norm.T_Embryo_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000100.1,282,601,440,482,578,206,401,477
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000200.1,248,257,351,246,269,169,743,287
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000200.2,1508,3406,1730,1438,2136,1761,2122,1606
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000300.1,0,1,2,1,2,0,2,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000300.2,1,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000400.1,129,131,138,121,191,130,126,96
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000500.1,198,284,346,339,186,252,331,221
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000600.1,2,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000700.1,1038,611,456,442,530,357,472,341
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000800.1,84,140,116,91,87,71,51,40
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000900.1,179,34,22,10,83,118,33,38
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000900.2,2,0,0,0,0,0,4,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001000.1,257,45,237,209,54,214,155,196
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001100.1,5,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001100.2,0,5,2,2,0,8,1,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001100.3,2,0,0,0,0,0,0,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001200.1,6,12,4,4,2,5,6,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001300.1,3392,2618,2836,2728,2401,2633,1266,2282
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001400.1,75,82,136,109,69,43,121,82
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001500.1,508,346,210,146,257,306,158,185
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001600.1,796,1193,1194,1065,1023,1683,869,998
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001700.1,0,3,3,0,0,10,0,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001800.1,251,1263,1200,1314,669,622,828,929
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001900.1,71,307,257,270,182,436,135,274
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002000.1,754,518,588,592,502,507,510,546
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002100.1,915,619,738,796,639,823,611,684
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002200.1,99,38,65,119,75,169,116,167
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002200.2,7,9,9,18,6,6,33,12
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002200.3,30,73,53,15,58,121,51,82
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002300.1,4,7,10,15,13,4,19,5
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002300.2,18,50,25,23,40,31,41,31
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002400.1,184,335,260,276,252,327,326,272
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002500.1,76,131,79,70,184,143,268,198
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002600.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002700.1,0,0,0,0,1,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002800.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002900.1,376,457,1140,1426,401,539,478,633
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003000.1,558,875,1324,1433,1307,912,2687,2119
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.1,51,65,133,111,25,56,132,105
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.2,85,72,180,178,43,302,39,200
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.3,89,527,190,166,408,160,119,115
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.4,74,55,259,292,56,166,149,192
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.5,149,295,317,278,242,256,133,155
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.6,37,69,175,226,22,149,123,278
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003200.1,872,377,653,588,506,387,420,647
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003300.1,0,2,0,0,2,0,1,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003400.1,21,39,57,33,26,19,82,61
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003500.1,40,46,80,137,39,27,62,58
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003600.1,345,304,672,601,274,293,472,275
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003600.2,147,171,241,312,149,53,102,166
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003700.1,591,1089,1406,1257,961,850,1673,1666
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003800.1,123,98,112,104,76,139,259,204
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003900.1,7,8,53,41,43,24,91,55
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003900.2,0,0,0,0,102,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003900.3,251,721,332,419,456,221,377,375
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004000.1,100,93,107,121,166,53,91,100
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004100.1,356,265,373,403,181,286,405,357
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004200.1,37,29,43,18,15,67,50,39
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004200.2,314,101,240,189,162,345,485,429
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004200.3,172,381,291,445,609,0,194,370
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004300.1,615,1906,470,106,868,515,121,46
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004400.1,328,454,479,457,585,462,417,367
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004500.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004600.1,0,0,0,2,0,2,2,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004700.1,136,88,53,92,88,137,99,109
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004700.2,2,0,12,0,11,4,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004800.1,34,1,6,11,9,4,10,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g004900.1,104,33,22,48,40,6,39,22
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005000.1,2,0,1,0,2,3,4,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005100.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005200.1,540,417,620,775,509,571,481,755
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.1,60,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.2,213,348,604,649,361,479,266,480
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.3,14,62,44,15,34,0,0,9
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.4,40,24,102,106,36,65,114,80
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.5,0,38,21,0,72,0,45,47
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005300.6,0,0,29,18,0,16,0,8
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005400.1,542,284,423,503,94,256,197,161
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005500.1,1547,556,1390,1438,655,787,311,1163
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005500.2,331,101,302,263,118,98,93,262
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005600.1,863,52,1189,1427,105,832,970,1652
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005600.2,14,418,50,91,441,0,300,78
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005700.1,10,6,35,81,0,13,0,45
vigun.IT97K-499-35.gnm1.ann1.Vigun01g005700.2,7,7,10,6,0,10,29,0
