Id,norm.WT_SeedCoat_1,norm.WT_SeedCoat_2,norm.WT_SeedCoat_3,norm.WT_SeedCoat_4,norm.T_SeedCoat_1,norm.T_SeedCoat_2,norm.T_SeedCoat_3,norm.T_SeedCoat_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000100.1,405,198,247,326,429,335,248,517
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000200.1,192,112,216,144,277,129,147,269
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000200.2,2875,1456,1832,1905,1360,2920,1574,3431
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000300.1,19,12,27,26,126,12,11,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000300.2,15,3,2,0,34,0,0,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000400.1,193,207,303,273,351,329,267,238
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000500.1,268,275,275,284,263,337,282,216
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000600.1,1,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000700.1,380,94,163,140,197,394,125,1329
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000800.1,189,177,66,75,224,265,137,140
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000900.1,45,63,24,18,0,24,44,157
vigun.IT97K-499-35.gnm1.ann1.Vigun01g000900.2,0,0,0,0,68,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001000.1,111,286,310,257,69,46,197,132
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001100.1,1843,2423,1465,1184,780,2451,1296,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001100.2,5787,10658,5297,5390,1702,4564,5885,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001100.3,9941,17709,10798,10823,5271,8790,10642,15
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001200.1,12,0,0,0,0,2,0,11
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001300.1,2140,1569,1694,1630,2058,1720,1398,4333
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001400.1,28,17,7,11,27,29,6,63
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001500.1,240,182,198,191,246,209,203,656
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001600.1,490,1105,999,1002,544,495,1333,1190
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001700.1,0,1,0,0,0,0,0,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001800.1,344,275,271,206,561,628,262,433
vigun.IT97K-499-35.gnm1.ann1.Vigun01g001900.1,286,742,387,401,160,215,446,204
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002000.1,166,151,130,143,146,94,120,698
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002100.1,624,1084,733,830,573,510,927,1009
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002200.1,148,509,289,369,213,279,474,75
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002200.2,13,23,13,18,10,11,19,6
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002200.3,88,302,237,222,0,0,249,53
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002300.1,7,2,1,3,16,6,1,16
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002300.2,63,49,34,30,72,61,47,52
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002400.1,325,456,367,407,328,288,418,292
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002500.1,113,113,112,123,135,121,113,163
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002600.1,12,22,28,27,4,19,22,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002700.1,1,5,15,6,0,6,12,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002800.1,0,3,6,8,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g002900.1,226,437,359,478,221,423,477,459
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003000.1,1443,1536,1902,1771,3168,2308,1809,883
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.1,6,7,5,13,11,0,1,65
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.2,28,125,38,22,0,82,23,69
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.3,201,139,197,208,188,166,232,228
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.4,16,93,47,59,7,3,23,177
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.5,62,62,53,50,125,75,108,199
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003100.6,1,77,38,36,57,0,73,35
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003200.1,183,239,269,254,269,232,289,377
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003300.1,25,22,135,80,146,27,24,2
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003400.1,10,14,7,10,68,7,6,23
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003500.1,60,32,51,34,56,85,43,74
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003600.1,280,153,343,374,268,252,271,485
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003600.2,141,131,103,203,144,94,134,244
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003700.1,778,877,1066,1036,2163,696,1050,912
vigun.IT97K-499-35.gnm1.ann1.Vigun01g003800.1,282,397,474,451,400,275,604,87
